===============================================================================
Id,XRX,len,datetime,open,high,low,close,volume,openinterest,adjclose,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,XRX,1,1999-01-04 23:59:59.999989,128.38,130.01,127.43,127.97,1557802.0,0.0,127.970558,SmaCross,1,729759.0,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,XRX,2,1999-01-05 23:59:59.999989,127.97,131.5,127.97,130.42,780719.0,0.0,130.415833,SmaCross,2,729760.0,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,XRX,3,1999-01-06 23:59:59.999989,130.42,133.13,128.85,132.93,1653816.0,0.0,132.929031,SmaCross,3,729761.0,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,XRX,4,1999-01-07 23:59:59.999989,132.18,133.27,130.42,132.32,1419964.0,0.0,132.317719,SmaCross,4,729762.0,Broker,4,10000.0,10000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,XRX,5,1999-01-08 23:59:59.999989,133.0,134.08,128.79,131.71,1263699.0,0.0,131.706421,SmaCross,5,729763.0,Broker,5,10000.0,10000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,XRX,6,1999-01-11 23:59:59.999989,130.28,133.95,130.21,133.61,1164654.0,0.0,133.608292,SmaCross,6,729766.0,Broker,6,10000.0,10000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,XRX,7,1999-01-12 23:59:59.999989,133.13,133.13,127.5,127.83,1197386.0,0.0,127.834694,SmaCross,7,729767.0,Broker,7,10000.0,10000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,XRX,8,1999-01-13 23:59:59.999989,122.26,127.02,117.99,124.17,2968068.0,0.0,124.16674,SmaCross,8,729768.0,Broker,8,10000.0,10000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,XRX,9,1999-01-14 23:59:59.999989,124.17,125.66,118.46,120.63,1936888.0,0.0,120.634598,SmaCross,9,729769.0,Broker,9,10000.0,10000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,XRX,10,1999-01-15 23:59:59.999989,122.54,126.48,122.4,126.48,1576472.0,0.0,126.476135,SmaCross,10,729770.0,Broker,10,10000.0,10000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,XRX,11,1999-01-19 23:59:59.999989,126.48,127.83,125.86,127.43,1446756.0,0.0,127.427116,SmaCross,11,729774.0,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,XRX,12,1999-01-20 23:59:59.999989,128.51,133.54,126.48,126.75,1754437.0,0.0,126.747871,SmaCross,12,729775.0,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,XRX,13,1999-01-21 23:59:59.999989,125.66,127.83,121.25,121.79,1520221.0,0.0,121.789352,SmaCross,13,729776.0,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,XRX,14,1999-01-22 23:59:59.999989,121.45,121.99,117.78,119.21,848608.0,0.0,119.208229,SmaCross,14,729777.0,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,XRX,15,1999-01-25 23:59:59.999989,119.21,120.09,114.52,114.52,1123679.0,0.0,114.521362,SmaCross,15,729780.0,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,XRX,16,1999-01-26 23:59:59.999989,124.44,129.13,124.03,126.41,2966735.0,0.0,126.408218,SmaCross,16,729781.0,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,XRX,17,1999-01-27 23:59:59.999989,126.2,128.51,125.86,126.41,1411357.0,0.0,126.408218,SmaCross,17,729782.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,XRX,18,1999-01-28 23:59:59.999989,127.16,130.42,127.16,130.08,947775.0,0.0,130.076141,SmaCross,18,729783.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,XRX,19,1999-01-29 23:59:59.999989,132.05,136.94,131.5,134.76,2014959.0,0.0,134.763031,SmaCross,19,729784.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,XRX,20,1999-02-01 23:59:59.999989,133.27,133.68,131.3,133.4,995539.0,0.0,133.40451,SmaCross,20,729787.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,XRX,21,1999-02-02 23:59:59.999989,132.32,132.79,129.87,132.05,861701.0,0.0,132.04599,SmaCross,21,729788.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,XRX,22,1999-02-03 23:59:59.999989,131.5,133.54,130.82,133.2,1539860.0,0.0,133.200729,SmaCross,22,729789.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
